"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"04/01/1993","273,58","273,58","273,58","273,58","4,11M","-0,28%"
"05/01/1993","273,31","273,31","273,31","273,31","2,99M","-0,10%"
"06/01/1993","274,84","274,84","274,84","274,84","5,38M","0,56%"
"07/01/1993","276,85","276,85","276,85","276,85","5,26M","0,73%"
"08/01/1993","279,11","279,11","279,11","279,11","3,53M","0,82%"
"11/01/1993","278,52","278,52","278,52","278,52","6,33M","-0,21%"
"12/01/1993","278,07","278,07","278,07","278,07","4,26M","-0,16%"
"13/01/1993","277,41","277,41","277,41","277,41","4,55M","-0,24%"
"14/01/1993","276,42","276,42","276,42","276,42","5,76M","-0,36%"
"15/01/1993","277,27","277,27","277,27","277,27","4,51M","0,31%"
"18/01/1993","277,94","277,94","277,94","277,94","116,79M","0,24%"
"19/01/1993","277,15","277,15","277,15","277,15","5,53M","-0,28%"
"21/01/1993","276,74","276,74","276,74","276,74","6,13M","-0,15%"
"22/01/1993","277,05","277,05","277,05","277,05","3,50M","0,11%"
"25/01/1993","276,70","276,70","276,70","276,70","4,09M","-0,13%"
"26/01/1993","276,29","276,29","276,29","276,29","3,64M","-0,15%"
"27/01/1993","275,97","275,97","275,97","275,97","9,74M","-0,12%"
"28/01/1993","277,42","277,42","277,42","277,42","7,21M","0,53%"
"29/01/1993","280,15","280,15","280,15","280,15","15,72M","0,98%"
"01/02/1993","280,89","280,89","280,89","280,89","28,48M","0,26%"
"02/02/1993","280,39","280,39","280,39","280,39","12,05M","-0,18%"
"03/02/1993","283,95","283,95","283,95","283,95","17,05M","1,27%"
"04/02/1993","289,20","289,20","289,20","289,20","26,09M","1,85%"
"05/02/1993","292,04","292,04","292,04","292,04","22,79M","0,98%"
"08/02/1993","295,81","295,81","295,81","295,81","25,41M","1,29%"
"09/02/1993","297,91","297,91","297,91","297,91","15,06M","0,71%"
"10/02/1993","299,40","299,40","299,40","299,40","13,57M","0,50%"
"11/02/1993","299,61","299,61","299,61","299,61","9,12M","0,07%"
"12/02/1993","300,54","300,54","300,54","300,54","6,77M","0,31%"
"15/02/1993","301,78","301,78","301,78","301,78","8,24M","0,41%"
"16/02/1993","301,99","301,99","301,99","301,99","10,06M","0,07%"
"17/02/1993","302,69","302,69","302,69","302,69","8,93M","0,23%"
"18/02/1993","301,92","301,92","301,92","301,92","10,38M","-0,25%"
"19/02/1993","300,44","300,44","300,44","300,44","6,22M","-0,49%"
"22/02/1993","301,22","301,22","301,22","301,22","4,18M","0,26%"
"23/02/1993","299,82","299,82","299,82","299,82","34,20M","-0,46%"
"24/02/1993","299,81","299,81","299,81","299,81","5,88M","0,00%"
"25/02/1993","300,22","300,22","300,22","300,22","4,33M","0,14%"
"26/02/1993","300,38","300,38","300,38","300,38","3,28M","0,05%"
"01/03/1993","300,45","300,45","300,45","300,45","5,20M","0,02%"
"02/03/1993","300,84","300,84","300,84","300,84","19,09M","0,13%"
"03/03/1993","302,08","302,08","302,08","302,08","7,35M","0,41%"
"04/03/1993","304,78","304,78","304,78","304,78","10,69M","0,89%"
"05/03/1993","307,19","307,19","307,19","307,19","7,43M","0,79%"
"08/03/1993","308,50","308,50","308,50","308,50","13,49M","0,43%"
"09/03/1993","310,08","310,08","310,08","310,08","11,87M","0,51%"
"10/03/1993","311,78","311,78","311,78","311,78","25,02M","0,55%"
"11/03/1993","312,69","312,69","312,69","312,69","17,23M","0,29%"
"12/03/1993","312,95","312,95","312,95","312,95","11,65M","0,08%"
"15/03/1993","311,70","311,70","311,70","311,70","5,15M","-0,40%"
"16/03/1993","311,09","311,09","311,09","311,09","13,50M","-0,20%"
"17/03/1993","310,78","310,78","310,78","310,78","43,19M","-0,10%"
"18/03/1993","310,37","310,37","310,37","310,37","6,05M","-0,13%"
"19/03/1993","312,07","312,07","312,07","312,07","9,89M","0,55%"
"29/03/1993","310,50","310,50","310,50","310,50","6,92M","-0,50%"
"30/03/1993","311,27","311,27","311,27","311,27","3,49M","0,25%"
"31/03/1993","310,76","310,76","310,76","310,76","5,10M","-0,16%"
"01/04/1993","311,13","311,13","311,13","311,13","2,81M","0,12%"
"02/04/1993","310,08","310,08","310,08","310,08","3,94M","-0,34%"
"05/04/1993","309,60","309,60","309,60","309,60","5,77M","-0,15%"
"06/04/1993","309,35","309,35","309,35","309,35","10,93M","-0,08%"
"07/04/1993","308,37","308,37","308,37","308,37","9,56M","-0,32%"
"08/04/1993","307,81","307,81","307,81","307,81","5,81M","-0,18%"
"12/04/1993","308,45","308,45","308,45","308,45","6,29M","0,21%"
"13/04/1993","307,23","307,23","307,23","307,23","3,53M","-0,40%"
"14/04/1993","307,28","307,28","307,28","307,28","4,53M","0,02%"
"15/04/1993","308,67","308,67","308,67","308,67","7,41M","0,45%"
"16/04/1993","308,68","308,68","308,68","308,68","5,66M","0,00%"
"19/04/1993","310,49","310,49","310,49","310,49","16,01M","0,59%"
"20/04/1993","312,00","312,00","312,00","312,00","5,55M","0,49%"
"21/04/1993","312,00","312,00","312,00","312,00","8,34M","0,00%"
"22/04/1993","311,28","311,28","311,28","311,28","6,83M","-0,23%"
"23/04/1993","310,78","310,78","310,78","310,78","5,34M","-0,16%"
"26/04/1993","311,14","311,14","311,14","311,14","5,88M","0,12%"
"27/04/1993","311,27","311,27","311,27","311,27","5,89M","0,04%"
"28/04/1993","312,19","312,19","312,19","312,19","4,77M","0,30%"
"29/04/1993","313,22","313,22","313,22","313,22","6,82M","0,33%"
"30/04/1993","314,10","314,10","314,10","314,10","5,09M","0,28%"
"03/05/1993","313,69","313,69","313,69","313,69","13,16M","-0,13%"
"04/05/1993","313,91","313,91","313,91","313,91","5,33M","0,07%"
"05/05/1993","313,61","313,61","313,61","313,61","4,86M","-0,10%"
"07/05/1993","315,08","315,08","315,08","315,08","5,29M","0,47%"
"10/05/1993","316,37","316,37","316,37","316,37","5,05M","0,41%"
"11/05/1993","316,41","316,41","316,41","316,41","8,86M","0,01%"
"12/05/1993","319,12","319,12","319,12","319,12","7,66M","0,86%"
"13/05/1993","321,84","321,84","321,84","321,84","10,52M","0,85%"
"14/05/1993","323,55","323,55","323,55","323,55","8,18M","0,53%"
"17/05/1993","325,43","325,43","325,43","325,43","11,76M","0,58%"
"18/05/1993","325,32","325,32","325,32","325,32","9,48M","-0,03%"
"19/05/1993","326,41","326,41","326,41","326,41","12,22M","0,34%"
"21/05/1993","326,44","326,44","326,44","326,44","8,70M","0,01%"
"24/05/1993","328,80","328,80","328,80","328,80","15,40M","0,72%"
"25/05/1993","330,64","330,64","330,64","330,64","18,04M","0,56%"
"26/05/1993","331,91","331,91","331,91","331,91","20,89M","0,38%"
"27/05/1993","333,92","333,92","333,92","333,92","18,15M","0,61%"
"28/05/1993","333,37","333,37","333,37","333,37","22,11M","-0,16%"
"31/05/1993","341,85","341,85","341,85","341,85","22,72M","2,54%"
"02/06/1993","345,99","345,99","345,99","345,99","17,95M","1,21%"
"03/06/1993","349,82","349,82","349,82","349,82","31,94M","1,11%"
"04/06/1993","349,66","349,66","349,66","349,66","11,49M","-0,05%"
"07/06/1993","349,34","349,34","349,34","349,34","14,46M","-0,09%"
"08/06/1993","352,00","352,00","352,00","352,00","9,33M","0,76%"
"09/06/1993","352,83","352,83","352,83","352,83","11,16M","0,24%"
"10/06/1993","351,38","351,38","351,38","351,38","19,18M","-0,41%"
"11/06/1993","350,30","350,30","350,30","350,30","13,97M","-0,31%"
"14/06/1993","351,34","351,34","351,34","351,34","7,90M","0,30%"
"15/06/1993","351,70","351,70","351,70","351,70","8,87M","0,10%"
"16/06/1993","354,01","354,01","354,01","354,01","8,74M","0,66%"
"17/06/1993","354,93","354,93","354,93","354,93","10,71M","0,26%"
"18/06/1993","355,64","355,64","355,64","355,64","28,26M","0,20%"
"22/06/1993","356,18","356,18","356,18","356,18","41,04M","0,15%"
"23/06/1993","358,38","358,38","358,38","358,38","7,56M","0,62%"
"24/06/1993","358,89","358,89","358,89","358,89","10,56M","0,14%"
"25/06/1993","358,88","358,88","358,88","358,88","11,18M","0,00%"
"28/06/1993","358,62","358,62","358,62","358,62","28,11M","-0,07%"
"29/06/1993","358,84","358,84","358,84","358,84","16,16M","0,06%"
"30/06/1993","360,35","360,35","360,35","360,35","15,54M","0,42%"
"01/07/1993","360,53","360,53","360,53","360,53","22,66M","0,05%"
"02/07/1993","360,72","360,72","360,72","360,72","12,16M","0,05%"
"05/07/1993","359,58","359,58","359,58","359,58","7,56M","-0,32%"
"06/07/1993","361,05","361,05","361,05","361,05","11,05M","0,41%"
"07/07/1993","360,28","360,28","360,28","360,28","11,13M","-0,21%"
"08/07/1993","360,13","360,13","360,13","360,13","21,83M","-0,04%"
"09/07/1993","359,67","359,67","359,67","359,67","3,30M","-0,13%"
"12/07/1993","359,42","359,42","359,42","359,42","11,21M","-0,07%"
"13/07/1993","356,76","356,76","356,76","356,76","11,17M","-0,74%"
"14/07/1993","357,19","357,19","357,19","357,19","6,15M","0,12%"
"15/07/1993","356,58","356,58","356,58","356,58","10,96M","-0,17%"
"16/07/1993","356,74","356,74","356,74","356,74","12,09M","0,04%"
"19/07/1993","356,36","356,36","356,36","356,36","7,23M","-0,11%"
"20/07/1993","354,83","354,83","354,83","354,83","7,33M","-0,43%"
"21/07/1993","355,07","355,07","355,07","355,07","11,13M","0,07%"
"22/07/1993","355,20","355,20","355,20","355,20","13,27M","0,04%"
"23/07/1993","355,43","355,43","355,43","355,43","6,84M","0,06%"
"26/07/1993","355,33","355,33","355,33","355,33","8,30M","-0,03%"
"27/07/1993","355,50","355,50","355,50","355,50","13,79M","0,05%"
"28/07/1993","354,64","354,64","354,64","354,64","88,03M","-0,24%"
"29/07/1993","354,06","354,06","354,06","354,06","11,89M","-0,16%"
"30/07/1993","356,72","356,72","356,72","356,72","9,67M","0,75%"
"02/08/1993","356,84","356,84","356,84","356,84","25,34M","0,03%"
"03/08/1993","358,13","358,13","358,13","358,13","9,00M","0,36%"
"04/08/1993","358,69","358,69","358,69","358,69","11,73M","0,16%"
"05/08/1993","360,00","360,00","360,00","360,00","21,27M","0,37%"
"06/08/1993","362,61","362,61","362,61","362,61","13,11M","0,72%"
"09/08/1993","364,53","364,53","364,53","364,53","16,47M","0,53%"
"10/08/1993","369,83","369,83","369,83","369,83","13,05M","1,45%"
"11/08/1993","377,35","377,35","377,35","377,35","20,34M","2,03%"
"12/08/1993","380,29","380,29","380,29","380,29","34,34M","0,78%"
"13/08/1993","379,94","379,94","379,94","379,94","14,70M","-0,09%"
"16/08/1993","382,01","382,01","382,01","382,01","12,89M","0,54%"
"18/08/1993","383,43","383,43","383,43","383,43","18,43M","0,37%"
"19/08/1993","384,82","384,82","384,82","384,82","24,35M","0,36%"
"20/08/1993","387,91","387,91","387,91","387,91","14,68M","0,80%"
"23/08/1993","390,18","390,18","390,18","390,18","15,31M","0,59%"
"24/08/1993","393,63","393,63","393,63","393,63","12,50M","0,88%"
"25/08/1993","398,49","398,49","398,49","398,49","14,23M","1,23%"
"26/08/1993","405,56","405,56","405,56","405,56","20,06M","1,77%"
"27/08/1993","409,67","409,67","409,67","409,67","12,94M","1,01%"
"31/08/1993","417,30","417,30","417,30","417,30","19,77M","1,86%"
"01/09/1993","422,83","422,83","422,83","422,83","23,35M","1,33%"
"02/09/1993","418,41","418,41","418,41","418,41","28,68M","-1,05%"
"03/09/1993","417,16","417,16","417,16","417,16","9,79M","-0,30%"
"06/09/1993","416,13","416,13","416,13","416,13","9,14M","-0,25%"
"07/09/1993","418,06","418,06","418,06","418,06","11,08M","0,46%"
"08/09/1993","422,35","422,35","422,35","422,35","12,84M","1,03%"
"09/09/1993","426,11","426,11","426,11","426,11","23,20M","0,89%"
"10/09/1993","427,99","427,99","427,99","427,99","20,78M","0,44%"
"13/09/1993","428,33","428,33","428,33","428,33","39,55M","0,08%"
"14/09/1993","428,36","428,36","428,36","428,36","18,13M","0,01%"
"15/09/1993","431,31","431,31","431,31","431,31","17,86M","0,69%"
"16/09/1993","430,05","430,05","430,05","430,05","15,64M","-0,29%"
"17/09/1993","430,36","430,36","430,36","430,36","9,08M","0,07%"
"20/09/1993","431,49","431,49","431,49","431,49","12,31M","0,26%"
"21/09/1993","430,57","430,57","430,57","430,57","11,71M","-0,21%"
"22/09/1993","427,76","427,76","427,76","427,76","16,17M","-0,65%"
"23/09/1993","425,34","425,34","425,34","425,34","22,98M","-0,57%"
"24/09/1993","421,04","421,04","421,04","421,04","9,61M","-1,01%"
"27/09/1993","420,90","420,90","420,90","420,90","33,08M","-0,03%"
"28/09/1993","418,40","418,40","418,40","418,40","13,07M","-0,59%"
"29/09/1993","419,50","419,50","419,50","419,50","12,55M","0,26%"
"30/09/1993","419,96","419,96","419,96","419,96","11,84M","0,11%"
"01/10/1993","443,26","443,26","443,26","443,26","82,65M","5,55%"
"04/10/1993","446,25","446,25","446,25","446,25","28,42M","0,67%"
"05/10/1993","441,57","441,57","441,57","441,57","10,91M","-1,05%"
"06/10/1993","439,42","439,42","439,42","439,42","9,12M","-0,49%"
"07/10/1993","436,49","436,49","436,49","436,49","12,04M","-0,67%"
"08/10/1993","438,55","438,55","438,55","438,55","10,68M","0,47%"
"11/10/1993","440,41","440,41","440,41","440,41","10,56M","0,42%"
"12/10/1993","443,87","443,87","443,87","443,87","17,65M","0,79%"
"13/10/1993","448,98","448,98","448,98","448,98","13,89M","1,15%"
"14/10/1993","453,95","453,95","453,95","453,95","13,52M","1,11%"
"15/10/1993","454,84","454,84","454,84","454,84","21,58M","0,20%"
"18/10/1993","456,80","456,80","456,80","456,80","12,19M","0,43%"
"19/10/1993","460,03","460,03","460,03","460,03","15,82M","0,71%"
"20/10/1993","463,09","463,09","463,09","463,09","27,28M","0,67%"
"21/10/1993","466,31","466,31","466,31","466,31","25,80M","0,70%"
"22/10/1993","466,22","466,22","466,22","466,22","18,59M","-0,02%"
"25/10/1993","464,47","464,47","464,47","464,47","10,57M","-0,38%"
"26/10/1993","464,64","464,64","464,64","464,64","15,96M","0,04%"
"27/10/1993","464,80","464,80","464,80","464,80","18,31M","0,03%"
"28/10/1993","465,11","465,11","465,11","465,11","18,29M","0,07%"
"29/10/1993","466,15","466,15","466,15","466,15","15,92M","0,22%"
"01/11/1993","469,10","469,10","469,10","469,10","14,45M","0,63%"
"02/11/1993","474,01","474,01","474,01","474,01","20,29M","1,05%"
"03/11/1993","484,25","484,25","484,25","484,25","28,69M","2,16%"
"04/11/1993","500,75","500,75","500,75","500,75","28,30M","3,41%"
"05/11/1993","507,22","507,22","507,22","507,22","24,85M","1,29%"
"08/11/1993","507,78","507,78","507,78","507,78","28,12M","0,11%"
"09/11/1993","508,06","508,06","508,06","508,06","23,33M","0,06%"
"10/11/1993","510,23","510,23","510,23","510,23","19,47M","0,43%"
"11/11/1993","511,35","511,35","511,35","511,35","31,76M","0,22%"
"12/11/1993","512,87","512,87","512,87","512,87","17,89M","0,30%"
"15/11/1993","516,81","516,81","516,81","516,81","22,67M","0,77%"
"16/11/1993","523,19","523,19","523,19","523,19","27,04M","1,23%"
"17/11/1993","533,18","533,18","533,18","533,18","31,11M","1,91%"
"18/11/1993","535,25","535,25","535,25","535,25","33,84M","0,39%"
"19/11/1993","535,11","535,11","535,11","535,11","25,08M","-0,03%"
"22/11/1993","536,46","536,46","536,46","536,46","29,50M","0,25%"
"23/11/1993","523,31","523,31","523,31","523,31","17,10M","-2,45%"
"24/11/1993","523,83","523,83","523,83","523,83","17,03M","0,10%"
"25/11/1993","524,20","524,20","524,20","524,20","17,43M","0,07%"
"26/11/1993","522,42","522,42","522,42","522,42","15,45M","-0,34%"
"29/11/1993","520,46","520,46","520,46","520,46","16,55M","-0,38%"
"30/11/1993","518,78","518,78","518,78","518,78","11,91M","-0,32%"
"01/12/1993","517,86","517,86","517,86","517,86","18,88M","-0,18%"
"02/12/1993","520,01","520,01","520,01","520,01","17,55M","0,42%"
"03/12/1993","521,73","521,73","521,73","521,73","20,10M","0,33%"
"06/12/1993","523,54","523,54","523,54","523,54","19,30M","0,35%"
"07/12/1993","523,41","523,41","523,41","523,41","24,79M","-0,02%"
"08/12/1993","523,32","523,32","523,32","523,32","20,61M","-0,02%"
"09/12/1993","525,32","525,32","525,32","525,32","21,30M","0,38%"
"10/12/1993","528,46","528,46","528,46","528,46","28,50M","0,60%"
"13/12/1993","527,93","527,93","527,93","527,93","22,36M","-0,10%"
"14/12/1993","536,08","536,08","536,08","536,08","21,91M","1,54%"
"15/12/1993","543,84","543,84","543,84","543,84","28,46M","1,45%"
"16/12/1993","553,36","553,36","553,36","553,36","37,57M","1,75%"
"17/12/1993","556,95","556,95","556,95","556,95","35,51M","0,65%"
"20/12/1993","552,90","552,90","552,90","552,90","50,12M","-0,73%"
"21/12/1993","552,20","552,20","552,20","552,20","12,10M","-0,13%"
"22/12/1993","550,07","550,07","550,07","550,07","19,82M","-0,39%"
"23/12/1993","557,34","557,34","557,34","557,34","14,99M","1,32%"
"24/12/1993","560,60","560,60","560,60","560,60","14,06M","0,58%"
"27/12/1993","565,94","565,94","565,94","565,94","9,40M","0,95%"
"28/12/1993","572,57","572,57","572,57","572,57","13,28M","1,17%"
"29/12/1993","587,88","587,88","587,88","587,88","12,44M","2,67%"
"30/12/1993","588,77","588,77","588,77","588,77","21,09M","0,15%"
"03/01/1994","589,65","589,65","589,65","589,65","23,76M","0,15%"
"04/01/1994","599,94","599,94","599,94","599,94","27,62M","1,75%"
"05/01/1994","612,89","612,89","612,89","612,89","53,36M","2,16%"
"06/01/1994","609,32","609,32","609,32","609,32","39,21M","-0,58%"
"07/01/1994","607,69","607,69","607,69","607,69","27,31M","-0,27%"
"11/01/1994","598,05","598,05","598,05","598,05","23,47M","-1,59%"
"12/01/1994","585,22","585,22","585,22","585,22","37,70M","-2,15%"
"13/01/1994","572,02","572,02","572,02","572,02","24,04M","-2,26%"
"14/01/1994","577,69","577,69","577,69","577,69","19,33M","0,99%"
"17/01/1994","587,16","587,16","587,16","587,16","34,58M","1,64%"
"18/01/1994","592,01","592,01","592,01","592,01","23,35M","0,83%"
"19/01/1994","596,00","596,00","596,00","596,00","23,98M","0,67%"
"20/01/1994","592,94","592,94","592,94","592,94","28,46M","-0,51%"
"21/01/1994","590,26","590,26","590,26","590,26","16,26M","-0,45%"
"24/01/1994","588,05","588,05","588,05","588,05","11,73M","-0,37%"
"25/01/1994","586,57","586,57","586,57","586,57","13,33M","-0,25%"
"26/01/1994","584,78","584,78","584,78","584,78","12,10M","-0,31%"
"27/01/1994","590,47","590,47","590,47","590,47","19,91M","0,97%"
"28/01/1994","592,65","592,65","592,65","592,65","25,43M","0,37%"
"31/01/1994","592,02","592,02","592,02","592,02","26,08M","-0,11%"
"01/02/1994","591,95","591,95","591,95","591,95","17,91M","-0,01%"
"02/02/1994","592,19","592,19","592,19","592,19","17,22M","0,04%"
"03/02/1994","594,36","594,36","594,36","594,36","25,26M","0,37%"
"04/02/1994","601,83","601,83","601,83","601,83","26,51M","1,26%"
"07/02/1994","594,12","594,12","594,12","594,12","50,92M","-1,28%"
"08/02/1994","587,97","587,97","587,97","587,97","16,95M","-1,04%"
"09/02/1994","580,65","580,65","580,65","580,65","15,58M","-1,24%"
"10/02/1994","583,47","583,47","583,47","583,47","7,77M","0,49%"
"11/02/1994","586,62","586,62","586,62","586,62","7,13M","0,54%"
"14/02/1994","586,75","586,75","586,75","586,75","9,51M","0,02%"
"15/02/1994","582,71","582,71","582,71","582,71","20,99M","-0,69%"
"16/02/1994","574,82","574,82","574,82","574,82","37,08M","-1,35%"
"17/02/1994","564,69","564,69","564,69","564,69","19,52M","-1,76%"
"18/02/1994","554,78","554,78","554,78","554,78","13,99M","-1,75%"
"21/02/1994","543,76","543,76","543,76","543,76","15,58M","-1,99%"
"22/02/1994","552,85","552,85","552,85","552,85","15,24M","1,67%"
"23/02/1994","551,88","551,88","551,88","551,88","17,56M","-0,18%"
"24/02/1994","552,52","552,52","552,52","552,52","22,72M","0,12%"
"25/02/1994","547,51","547,51","547,51","547,51","13,00M","-0,91%"
"28/02/1994","546,23","546,23","546,23","546,23","10,52M","-0,23%"
"01/03/1994","546,41","546,41","546,41","546,41","42,10M","0,03%"
"02/03/1994","540,47","540,47","540,47","540,47","15,22M","-1,09%"
"03/03/1994","530,37","530,37","530,37","530,37","13,38M","-1,87%"
"04/03/1994","521,38","521,38","521,38","521,38","10,36M","-1,70%"
"07/03/1994","522,37","522,37","522,37","522,37","9,83M","0,19%"
"08/03/1994","521,17","521,17","521,17","521,17","13,71M","-0,23%"
"09/03/1994","514,57","514,57","514,57","514,57","16,00M","-1,27%"
"10/03/1994","514,31","514,31","514,31","514,31","23,19M","-0,05%"
"17/03/1994","509,85","509,85","509,85","509,85","13,66M","-0,87%"
"18/03/1994","508,88","508,88","508,88","508,88","12,17M","-0,19%"
"21/03/1994","501,20","501,20","501,20","501,20","18,20M","-1,51%"
"22/03/1994","485,47","485,47","485,47","485,47","51,56M","-3,14%"
"23/03/1994","486,90","486,90","486,90","486,90","14,85M","0,29%"
"24/03/1994","494,18","494,18","494,18","494,18","20,33M","1,50%"
"25/03/1994","490,84","490,84","490,84","490,84","35,66M","-0,68%"
"28/03/1994","491,05","491,05","491,05","491,05","60,63M","0,04%"
"29/03/1994","487,22","487,22","487,22","487,22","39,40M","-0,78%"
"30/03/1994","492,37","492,37","492,37","492,37","17,41M","1,06%"
"04/04/1994","485,91","485,91","485,91","485,91","19,72M","-1,31%"
"05/04/1994","480,96","480,96","480,96","480,96","8,08M","-1,02%"
"06/04/1994","473,96","473,96","473,96","473,96","13,68M","-1,46%"
"07/04/1994","467,98","467,98","467,98","467,98","10,91M","-1,26%"
"08/04/1994","463,43","463,43","463,43","463,43","15,42M","-0,97%"
"11/04/1994","456,91","456,91","456,91","456,91","11,88M","-1,41%"
"13/04/1994","462,37","462,37","462,37","462,37","15,13M","1,19%"
"14/04/1994","469,28","469,28","469,28","469,28","29,98M","1,49%"
"15/04/1994","472,65","472,65","472,65","472,65","21,72M","0,72%"
"18/04/1994","475,77","475,77","475,77","475,77","19,71M","0,66%"
"19/04/1994","465,76","465,76","465,76","465,76","14,31M","-2,10%"
"20/04/1994","458,68","458,68","458,68","458,68","17,89M","-1,52%"
"21/04/1994","456,56","456,56","456,56","456,56","14,76M","-0,46%"
"22/04/1994","454,85","454,85","454,85","454,85","17,14M","-0,37%"
"25/04/1994","454,41","454,41","454,41","454,41","12,25M","-0,10%"
"26/04/1994","454,32","454,32","454,32","454,32","19,70M","-0,02%"
"27/04/1994","461,70","461,70","461,70","461,70","28,46M","1,62%"
"28/04/1994","465,28","465,28","465,28","465,28","29,96M","0,78%"
"29/04/1994","462,40","462,40","462,40","462,40","19,48M","-0,62%"
"02/05/1994","461,81","461,81","461,81","461,81","9,08M","-0,13%"
"03/05/1994","460,34","460,34","460,34","460,34","12,46M","-0,32%"
"04/05/1994","462,64","462,64","462,64","462,64","17,21M","0,50%"
"05/05/1994","462,56","462,56","462,56","462,56","35,19M","-0,02%"
"06/05/1994","463,12","463,12","463,12","463,12","22,44M","0,12%"
"09/05/1994","464,28","464,28","464,28","464,28","13,21M","0,25%"
"10/05/1994","463,04","463,04","463,04","463,04","16,04M","-0,27%"
"11/05/1994","465,53","465,53","465,53","465,53","13,90M","0,54%"
"13/05/1994","467,40","467,40","467,40","467,40","15,25M","0,40%"
"16/05/1994","467,86","467,86","467,86","467,86","16,90M","0,10%"
"17/05/1994","471,77","471,77","471,77","471,77","33,86M","0,84%"
"18/05/1994","477,21","477,21","477,21","477,21","23,61M","1,15%"
"19/05/1994","482,74","482,74","482,74","482,74","25,02M","1,16%"
"20/05/1994","487,99","487,99","487,99","487,99","20,55M","1,09%"
"23/05/1994","498,36","498,36","498,36","498,36","29,17M","2,13%"
"24/05/1994","502,00","502,00","502,00","502,00","31,98M","0,73%"
"26/05/1994","502,60","502,60","502,60","502,60","25,00M","0,12%"
"27/05/1994","504,97","504,97","504,97","504,97","23,00M","0,47%"
"30/05/1994","504,49","504,49","504,49","504,49","18,32M","-0,10%"
"31/05/1994","501,79","501,79","501,79","501,79","20,70M","-0,54%"
"01/06/1994","494,33","494,33","494,33","494,33","15,96M","-1,49%"
"02/06/1994","487,11","487,11","487,11","487,11","9,99M","-1,46%"
"03/06/1994","486,73","486,73","486,73","486,73","13,05M","-0,08%"
"06/06/1994","486,53","486,53","486,53","486,53","23,50M","-0,04%"
"07/06/1994","486,11","486,11","486,11","486,11","9,46M","-0,09%"
"08/06/1994","484,90","484,90","484,90","484,90","10,17M","-0,25%"
"09/06/1994","484,90","484,90","484,90","484,90","11,13M","0,00%"
"10/06/1994","483,05","483,05","483,05","483,05","9,38M","-0,38%"
"13/06/1994","483,02","483,02","483,02","483,02","5,57M","-0,01%"
"14/06/1994","482,35","482,35","482,35","482,35","6,44M","-0,14%"
"15/06/1994","482,09","482,09","482,09","482,09","7,87M","-0,05%"
"16/06/1994","477,13","477,13","477,13","477,13","11,20M","-1,03%"
"17/06/1994","476,55","476,55","476,55","476,55","20,36M","-0,12%"
"20/06/1994","475,73","475,73","475,73","475,73","10,23M","-0,17%"
"21/06/1994","475,24","475,24","475,24","475,24","10,78M","-0,10%"
"22/06/1994","473,13","473,13","473,13","473,13","6,89M","-0,44%"
"23/06/1994","470,96","470,96","470,96","470,96","7,44M","-0,46%"
"24/06/1994","468,87","468,87","468,87","468,87","10,18M","-0,44%"
"27/06/1994","464,39","464,39","464,39","464,39","14,69M","-0,96%"
"28/06/1994","462,41","462,41","462,41","462,41","7,74M","-0,43%"
"29/06/1994","457,74","457,74","457,74","457,74","22,64M","-1,01%"
"30/06/1994","457,30","457,30","457,30","457,30","8,97M","-0,10%"
"01/07/1994","458,74","458,74","458,74","458,74","9,14M","0,31%"
"04/07/1994","458,37","458,37","458,37","458,37","7,93M","-0,08%"
"05/07/1994","456,76","456,76","456,76","456,76","7,26M","-0,35%"
"06/07/1994","453,69","453,69","453,69","453,69","15,24M","-0,67%"
"07/07/1994","454,10","454,10","454,10","454,10","9,52M","0,09%"
"08/07/1994","452,20","452,20","452,20","452,20","9,91M","-0,42%"
"11/07/1994","450,45","450,45","450,45","450,45","11,00M","-0,39%"
"12/07/1994","449,72","449,72","449,72","449,72","9,82M","-0,16%"
"13/07/1994","453,21","453,21","453,21","453,21","19,70M","0,78%"
"14/07/1994","460,29","460,29","460,29","460,29","23,27M","1,56%"
"15/07/1994","461,78","461,78","461,78","461,78","17,71M","0,32%"
"18/07/1994","462,48","462,48","462,48","462,48","11,49M","0,15%"
"19/07/1994","460,64","460,64","460,64","460,64","9,37M","-0,40%"
"20/07/1994","462,54","462,54","462,54","462,54","12,72M","0,41%"
"21/07/1994","461,14","461,14","461,14","461,14","15,86M","-0,30%"
"22/07/1994","459,07","459,07","459,07","459,07","15,37M","-0,45%"
"25/07/1994","455,12","455,12","455,12","455,12","7,05M","-0,86%"
"26/07/1994","454,36","454,36","454,36","454,36","15,27M","-0,17%"
"27/07/1994","453,37","453,37","453,37","453,37","8,23M","-0,22%"
"28/07/1994","452,97","452,97","452,97","452,97","28,15M","-0,09%"
"29/07/1994","451,08","451,08","451,08","451,08","23,05M","-0,42%"
"01/08/1994","452,72","452,72","452,72","452,72","24,56M","0,36%"
"02/08/1994","459,24","459,24","459,24","459,24","16,10M","1,44%"
"03/08/1994","464,85","464,85","464,85","464,85","22,62M","1,22%"
"04/08/1994","468,73","468,73","468,73","468,73","23,12M","0,83%"
"05/08/1994","472,80","472,80","472,80","472,80","26,29M","0,87%"
"08/08/1994","472,41","472,41","472,41","472,41","32,80M","-0,08%"
"09/08/1994","469,92","469,92","469,92","469,92","17,25M","-0,53%"
